NAME,USERNAME,PASSWORD,ADDRESS
Roopa,Roopa@gmail.com,Roopapwd,USA
Nikhil,Nikhil@gmail.com,Nikhilpwd,USA
Sanchit,Sanchit@gmail.com,Sanchitpwd,USA
Aditya,Aditya@gmail.com,Adityapwd,USA
Sagar,Sagar@gmail.com,Sagarpwd,USA
Prateek,Prateek@gmail.com,Prateekpwd,USA
Pranav,Pranav@gmail.com,Pranavpwd,usa
Tony,Tony@gmail.com,Tonypwd,USA
Pradyun,Pradyun@gmail.com,Pradyunpwd,USA
pradeep,pola@gmail.com,pola1234,1234 duckwood trail
pradeep,pola@gmail.com,pradeep,12345 abcdef
pradeep,ppola@gmail.com,pradeep,1234 abcdef
Anjali,Anjali@gmail.com,Anjalipwd,USA
jhansi,Jhansi@gmail.com,Jhansipwd,USA
kala,kala@gmail.com,kalapwd,usa
098765,0pola@gmail.com,pradeep,12345
Virat,Virat@gmail.com,Viratpwd,USA
